lng	lat	count
121.019983	30.895189	1
121.020252	30.896021	1
121.020294	30.896036	1
121.020513	30.895968	1
121.020585	30.895961	1
121.021512	30.889968	1
121.023455	30.893421	1
121.026236	30.892365	2
121.028343	30.892189	2
121.034042	31.131633	3
121.034123	31.127676	1
121.035245	31.128173	1
121.035665	31.134108	1
121.036456	31.135150	1
121.042870	31.118286	1
121.046058	31.119174	1
121.048256	31.116659	1
121.048523	31.036890	2
121.049711	31.122116	1
121.051473	31.106391	1
121.051974	31.107872	1
121.059238	31.107252	2
121.060167	31.108612	1
121.062500	31.110083	1
121.064171	31.108440	1
121.065626	31.110708	1
121.071381	31.116674	1
121.076508	30.871828	1
121.077698	30.870222	1
121.077988	30.870399	1
121.078064	30.870401	1
121.078184	30.869245	1
121.078285	30.870106	1
121.078293	30.870087	1
121.078300	30.870068	1
121.078300	30.870075	1
121.078308	30.870049	1
121.078720	30.869011	1
121.078789	30.869049	1
121.078819	30.869061	1
121.082545	31.255508	1
121.086353	31.158725	1
121.088070	31.160281	1
121.091989	31.156194	2
121.092760	31.167640	24
121.094022	31.135152	1
121.094144	31.147325	1
121.094188	31.144882	6
121.094194	31.148562	3
121.094492	31.147987	4
121.094511	31.147584	1
121.094517	31.148620	2
121.094567	31.147371	1
121.094672	31.148213	3
121.094849	31.147705	2
121.094946	31.147449	2
121.094951	31.212824	2
121.095044	31.148329	1
121.095270	31.147752	2
121.095533	31.165792	2
121.095570	31.167553	1
121.095666	31.147620	3
121.095681	31.147672	4
121.095793	31.167069	1
121.096062	31.147704	1
121.097291	31.142464	1
121.097519	31.142058	1
121.098276	31.140400	1
121.098600	31.256675	1
121.099028	31.141716	1
121.099579	31.213654	3
121.099729	31.146893	1
121.100716	31.145073	1
121.100966	31.131366	1
121.102010	31.171268	5
121.102108	31.147382	1
121.102193	31.133331	1
121.102487	31.154763	1
121.102990	31.158262	1
121.103016	31.160718	1
121.103344	31.152378	1
121.104168	31.152003	1
121.104821	31.153086	1
121.106459	31.162142	1
121.106562	31.161739	1
121.106941	31.152573	1
121.107248	31.141149	1
121.108088	31.157502	1
121.108147	31.156284	1
121.108229	31.156517	1
121.108574	31.152334	1
121.108583	31.152115	1
121.108656	31.155324	1
121.109563	31.142996	1
121.109693	31.154841	1
121.110083	31.151566	1
121.110084	31.154373	1
121.110102	31.152824	1
121.110195	31.154139	1
121.110873	31.140212	1
121.110883	31.152133	1
121.111048	31.157087	1
121.111964	31.152763	1
121.114113	31.145077	1
121.114390	31.158847	2
121.114610	31.160530	1
121.115140	31.152000	1
121.115730	30.046570	5
121.115939	31.158952	3
121.116038	31.148809	1
121.116120	31.154971	1
121.116294	31.154873	1
121.116462	31.152062	1
121.116980	31.154454	1
121.117335	31.154398	1
121.117970	31.146620	1
121.118168	31.146062	1
121.118956	31.135944	1
121.119102	31.145084	1
121.119250	31.147583	1
121.119470	31.146360	1
121.119621	31.142650	1
121.119921	31.146471	1
121.119928	31.143208	1
121.120004	31.157661	1
121.120054	31.195216	1
121.120348	31.143233	1
121.120473	31.155617	1
121.120541	31.155350	1
121.120653	31.145837	1
121.120801	31.154998	1
121.120948	31.154734	1
121.121043	31.158403	1
121.121102	31.143941	1
121.121613	31.285419	1
121.121619	31.285418	1
121.122160	31.151968	1
121.122318	31.284338	1
121.122868	31.144293	1
121.122872	31.143376	1
121.123767	31.143986	1
121.124104	31.145765	1
121.124178	31.150681	2
121.124300	31.283540	1
121.124501	31.145059	1
121.124597	31.143698	2
121.124615	31.144225	1
121.125840	31.176660	1
121.125983	31.156334	1
121.127000	31.145917	1
121.127342	31.139860	1
121.131164	31.157130	1
121.131421	31.144459	1
121.131947	31.143756	1
121.131984	31.279946	1
121.133461	31.143797	1
121.133873	31.146219	1
121.134006	31.182367	1
121.135666	31.259567	1
121.136279	31.146821	1
121.136357	31.145310	1
121.136966	31.146667	1
121.137292	31.278368	1
121.137656	31.270446	1
121.137658	31.270447	1
121.137702	31.270689	1
121.140099	31.257908	1
121.141449	31.276350	1
121.141658	31.272234	1
121.141773	31.271933	1
121.142763	31.271726	1
121.142825	31.271828	1
121.142856	31.272008	1
121.143077	31.259203	2
121.147042	31.379255	1
121.147199	31.158857	1
121.148653	31.162543	3
121.149926	31.304467	1
121.150090	31.303581	1
121.150276	31.382366	1
121.150713	31.349051	7
121.150806	31.303689	1
121.151238	31.304205	1
121.152139	31.296506	1
121.153244	31.307248	1
121.153412	31.163725	2
121.153938	31.292975	1
121.154215	31.301125	1
121.154292	31.292090	1
121.154345	31.301126	1
121.154771	31.296241	1
121.155208	31.365826	1
121.157021	30.891054	1
121.157173	30.891041	1
121.157195	31.156853	1
121.157381	31.297753	1
121.157437	30.891346	1
121.158087	31.291246	1
121.158150	30.891062	1
121.158195	31.291245	4
121.158371	31.296969	6
121.158454	31.290488	1
121.158513	31.291086	112
121.158706	31.289680	1
121.158710	31.290728	1
121.158725	31.289590	1
121.158726	31.289737	1
121.158775	31.295020	1
121.158818	31.290255	1
121.158877	31.289765	1
121.158888	31.278796	4
121.159062	30.902368	1
121.159263	31.278821	2
121.159269	31.292114	1
121.159286	30.897943	1
121.159300	31.277850	1
121.159325	31.299000	1
121.159400	31.290864	19
121.159419	31.300152	1
121.159424	30.886621	1
121.159447	31.289959	1
121.159526	31.278049	1
121.159578	31.290205	14
121.159737	30.885403	1
121.159774	31.278855	2
121.159801	31.279028	1
121.160142	30.904744	1
121.160158	30.902364	1
121.160220	30.885381	1
121.160244	31.290792	1
121.160388	30.884877	1
121.160500	30.885500	1
121.160595	30.895723	1
121.160782	30.886423	1
121.160801	30.900132	1
121.160943	30.886598	2
121.161011	30.885235	1
121.161132	30.888544	1
121.161316	30.886099	1
121.161344	30.885645	1
121.161346	31.364904	1
121.161388	31.298718	1
121.161420	31.299674	1
121.161422	30.886596	1
121.161705	30.888941	1
121.161720	30.888865	1
121.161728	30.887035	1
121.161731	31.298068	1
121.161781	30.886168	1
121.161896	30.887407	1
121.161964	30.887268	1
121.162053	31.365063	1
121.162369	30.901498	1
121.162817	30.885523	1
121.165039	31.139881	2
121.165604	31.290654	1
121.165684	30.885102	1
121.165770	31.292113	1
121.165908	30.884437	1
121.166144	30.884814	1
121.166184	30.901197	1
121.166317	30.887917	1
121.166489	31.287271	1
121.166510	30.886941	2
121.166522	30.901201	1
121.166538	30.900622	1
121.166618	30.886068	2
121.166631	31.362814	1
121.166677	30.898687	2
121.166687	30.884128	1
121.166749	30.883518	1
121.166890	30.886049	1
121.166991	31.294038	1
121.167226	30.878574	1
121.167239	30.880387	2
121.167278	31.287403	1
121.167328	30.886875	1
121.167405	30.881569	2
121.167475	30.885697	1
121.167511	30.886496	6
121.167610	30.880400	2
121.167615	30.882629	1
121.167824	30.886526	1
121.167831	31.269133	1
121.167871	30.883094	1
121.167946	30.886166	1
121.167946	30.893425	1
121.167997	30.883085	1
121.168304	30.886103	1
121.168439	30.886613	1
121.168442	31.287639	1
121.168472	30.894239	1
121.168825	30.899206	2
121.168869	30.886204	1
121.168877	30.905877	1
121.168900	30.886501	1
121.169106	30.886999	1
121.169106	30.887066	1
121.169128	30.887020	1
121.169136	30.886648	1
121.169140	30.904914	1
121.169197	30.884317	1
121.169221	30.886936	3
121.169228	30.885103	1
121.169235	30.886909	3
121.169235	30.886910	6
121.170715	30.886440	1
121.170967	30.886406	1
121.171066	30.886410	1
121.171269	36.779116	1
121.171341	30.878936	1
121.171471	30.899620	1
121.171608	30.885900	2
121.171745	30.886083	3
121.172243	31.270722	1
121.172490	30.886182	1
121.172936	30.886162	3
121.173030	30.885984	1
121.173194	31.353701	1
121.173798	30.889469	2
121.173845	31.353106	1
121.174015	30.901824	1
121.174408	31.270123	1
121.174409	31.270123	1
121.174473	31.353307	1
121.174850	31.270321	2
121.174866	31.268888	1
121.175095	31.551830	1
121.175240	31.269758	1
121.175591	31.269676	1
121.175606	31.269066	1
121.175674	31.270035	1
121.175959	30.903931	1
121.176582	31.269108	1
121.176689	31.269300	3
121.177174	31.362015	1
121.177564	31.361633	1
121.179021	31.360482	1
121.179070	31.360439	1
121.179331	31.285863	4
121.179344	30.896726	1
121.179377	31.285702	3
121.179395	31.286256	6
121.179430	31.027300	1
121.179432	31.284924	1
121.179750	31.047918	1
121.179758	31.286169	11
121.179770	31.285585	3
121.180000	31.284351	1
